Name                                 Publisher                                             Version
SecurityInventoryExtension           KevlarExtensions.M365SecurityInventory                1.1.0.0
StarboardSherpaExtension             KevlarExtensions.M365SecurityInventory                1.2.0.0
KES                                  KasperskyLab.SecurityAgent                            1.0.0.2
KES                                  KasperskyLab.SecurityAgent                            1.0.0.3
HostIDSExtension                     KevlarExtensions.M365SecurityHostIDS                  1.0.20210604.0628
HostIDSExtension                     KevlarExtensions.M365SecurityHostIDS                  1.2.0.0
ODLExtension                         KevlarExtensions.M365SecurityODL                      1.2.0.0
KESL                                 KasperskyLab.SecurityAgent                            1.0.2.0
KESL                                 KasperskyLab.SecurityAgent                            11.0.3.3013
KESL                                 KasperskyLab.SecurityAgent                            11.1.0.3013
KESL                                 KasperskyLab.SecurityAgent                            11.2.0.3013
KESL                                 KasperskyLab.SecurityAgent                            11.3.1.1
ODLExtension                         KevlarExtensions.M365SecurityHostIDS                  1.0.20210604.0404
KSWS                                 KasperskyLab.SecurityAgent                            1.0.1.0
KSWS                                 KasperskyLab.SecurityAgent                            11.0.0.480
KSWS                                 KasperskyLab.SecurityAgent                            11.1.1.1
KSWS                                 KasperskyLab.SecurityAgent                            11.1.1.3
LogzioLogExtensionLinux              logzio                                                1.0.0
McAfeeEndpointSecurity               McAfee.EndpointSecurity                               6.0
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.117
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.34
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.35
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.36
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.38
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.40
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.41
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.50
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.51
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.53
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.62
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.65
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.86
AdminCenter                          Microsoft.AdminCenter                                 0.0.0.87
Compute.AKS-Engine.Linux.Billing     Microsoft.AKS                                         1.0.0
AADLoginForLinux                     Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.1368.2
AADLoginForLinux                     Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.1509.3
AADLoginForLinux                     Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.1528.1
AADLoginForLinux                     Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.1588.3
AADLoginForWindows                   Microsoft.Azure.ActiveDirectory                       0.3.0.0
AADLoginForWindows                   Microsoft.Azure.ActiveDirectory                       0.3.1.0
AADLoginForWindows                   Microsoft.Azure.ActiveDirectory                       0.4.1.0
AADLoginForWindows                   Microsoft.Azure.ActiveDirectory                       0.4.1.1
AADLoginForWindows                   Microsoft.Azure.ActiveDirectory                       1.0.0.0
AADLoginForWindows                   Microsoft.Azure.ActiveDirectory                       1.0.0.1
IaaS47C6E03DTest                     Microsoft.Azure.Applications                          1.0.0.3
Compute.AKS-Engine.Windows.Billing   Microsoft.AKS                                         1.0.0
AADSSHLoginForLinux                  Microsoft.Azure.ActiveDirectory                       1.0.1553.1
AADSSHLoginForLinux                  Microsoft.Azure.ActiveDirectory                       1.0.1560.1
AADSSHLoginForLinux                  Microsoft.Azure.ActiveDirectory                       1.0.1588.1
AADSSHLoginForLinux                  Microsoft.Azure.ActiveDirectory                       1.0.1595.1
AADSSHLoginForLinux                  Microsoft.Azure.ActiveDirectory                       1.0.1713.1
Compute.AKS.Linux.AKSNode            Microsoft.AKS                                         1.0.0.4
Compute.AKS.Linux.AKSNode            Microsoft.AKS                                         1.0.1
Compute.AKS.Linux.AKSNode            Microsoft.AKS                                         1.0.3
Compute.AKS.Linux.AKSNode            Microsoft.AKS                                         1.0.4.1
Compute.AKS.Linux.AKSNode            Microsoft.AKS                                         1.10
Compute.AKS.Linux.AKSNode            Microsoft.AKS                                         1.8
Compute.AKS.Linux.AKSNode            Microsoft.AKS                                         1.9
HybridWorkerForLinux                 Microsoft.Azure.Automation.HybridWorker               0.1.0.10
HybridWorkerForLinux                 Microsoft.Azure.Automation.HybridWorker               0.1.0.8
Compute.AKS.Linux.Billing            Microsoft.AKS                                         1.0.0
AdvancedThreatProtection.Windows     Microsoft.Azure.AzureDefenderForSQL                   1.0.0
AdvancedThreatProtection.Windows     Microsoft.Azure.AzureDefenderForSQL                   1.0.1
AdvancedThreatProtection.Windows     Microsoft.Azure.AzureDefenderForSQL                   1.0.1629.89
AdvancedThreatProtection.Windows     Microsoft.Azure.AzureDefenderForSQL                   1.0.2
AdvancedThreatProtection.Windows     Microsoft.Azure.AzureDefenderForSQL                   1.1.1732.126
AdvancedThreatProtection.Windows     Microsoft.Azure.AzureDefenderForSQL                   1.1.1739.127
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.134.0
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.135.0
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.136.0
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.137.0
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.138.0
MyBackupTest                         Microsoft.Azure.Backup.Test                           1.0.139.0
MDE.Linux                            Microsoft.Azure.AzureDefenderForServers               1.0.0.16
MDE.Linux                            Microsoft.Azure.AzureDefenderForServers               1.0.0.17
MDE.Linux                            Microsoft.Azure.AzureDefenderForServers               1.0.0.18
MDE.Linux                            Microsoft.Azure.AzureDefenderForServers               1.0.0.20
MDE.Linux                            Microsoft.Azure.AzureDefenderForServers               1.0.0.22
MDE.Linux                            Microsoft.Azure.AzureDefenderForServers               1.0.0.23
MDE.Linux                            Microsoft.Azure.AzureDefenderForServers               1.0.0.25
HybridWorkerForWindows               Microsoft.Azure.Automation.HybridWorker               0.1.0.4
HybridWorkerForWindows               Microsoft.Azure.Automation.HybridWorker               0.1.0.5
HybridWorkerForWindows               Microsoft.Azure.Automation.HybridWorker               0.1.0.6
HybridWorkerForWindows               Microsoft.Azure.Automation.HybridWorker               0.1.0.8
Compute.AKS.Windows.Billing          Microsoft.AKS                                         1.0.0
VulnerabilityAssessment.Windows      Microsoft.Azure.AzureDefenderForSQL                   1.0.1639.91
VulnerabilityAssessment.Windows      Microsoft.Azure.AzureDefenderForSQL                   1.1.1739.127
MyBackupTestLinuxInt                 Microsoft.Azure.Backup.Test                           1.0.9167.0
MyBackupTestLinuxInt                 Microsoft.Azure.Backup.Test                           1.0.9168.0
MyBackupTestLinuxInt                 Microsoft.Azure.Backup.Test                           1.0.9170.0
MyBackupTestLinuxInt                 Microsoft.Azure.Backup.Test                           1.0.9172.0
MyBackupTestLinuxInt                 Microsoft.Azure.Backup.Test                           1.0.9173.0
MyBackupTestLinuxInt                 Microsoft.Azure.Backup.Test                           1.0.9174.0
MyBackupTestLinuxInt                 Microsoft.Azure.Backup.Test                           1.0.9175.0
MDE.Windows                          Microsoft.Azure.AzureDefenderForServers               1.0.2.2
MDE.Windows                          Microsoft.Azure.AzureDefenderForServers               1.0.3.1
ChangeTracking                       Microsoft.Azure.ChangeTracking.Test                   1.0.0.5
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.0.29
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.0.33
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.0.38
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.0.39
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.0.40
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.0.41
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.0.43
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.0.46
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.0.51
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.0.52
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.1.62
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.1.63
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.1.64
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 0.1.65
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 1.0.24
ChaosLinuxAgent                      Microsoft.Azure.Chaos                                 1.0.25
ChangeTracking-Linux                 Microsoft.Azure.ChangeTrackingAndInventory            1.0.0.0
ChangeTracking-Linux                 Microsoft.Azure.ChangeTrackingAndInventory            1.0.0.1
ChangeTrackingLinux                  Microsoft.Azure.ChangeTracking.Test                   1.0.0.2
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.0.39
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.0.41
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.0.42
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.0.43
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.0.44
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.0.47
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.0.48
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.0.50
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.0.51
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.0.70
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.1.13
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.1.15
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.1.16
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.1.17
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 0.1.18
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 1.0.24
ChaosWindowsAgent                    Microsoft.Azure.Chaos                                 1.0.29
